Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Age,Gender,description
0.15,0.8,0.33,0.02,0.89,20,1,20대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.09,0.54,0.19,0.38,0.34,20,0,20대예요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.84,0.82,0.54,0.94,0.54,20,1,20대예요 여성이에요 창의적이고 새로운 것을 좋아해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정 기복이 심하고 예민한 편이에요
0.32,0.13,0.38,0.25,0.78,20,0,20대예요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.18,0.93,0.79,0.18,0.75,20,1,20대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.06,0.79,0.34,0.12,0.4,20,0,20대예요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.77,0.91,0.95,0.06,0.84,20,1,20대예요 여성이에요 창의적이고 새로운 것을 좋아해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.42,0.89,0.82,0.94,0.71,20,0,20대예요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정 기복이 심하고 예민한 편이에요
0.44,0.53,0.13,0.37,0.79,20,1,20대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.75,0.96,0.26,0.94,0.78,20,0,20대예요 남성이에요 창의적이고 새로운 것을 좋아해요 계획적이고 신중한 성격이에요 조용하고 혼자 있는 걸 좋아해요 공감하고 협력하는 걸 중요하게 여겨요 감정 기복이 심하고 예민한 편이에요
0.4,0.4,0.93,0.7,0.31,30,1,30대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.47,0.94,0.73,0.22,0.23,30,0,30대예요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.81,0.25,0.59,0.95,0.39,30,1,30대예요 여성이에요 창의적이고 새로운 것을 좋아해요 즉흥적이고 자유로운 성향이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.52,0.11,0.41,0.28,0.64,30,0,30대예요 남성이에요 창의적이고 새로운 것을 좋아해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.37,0.61,0.52,0.08,0.32,30,1,30대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.66,0.43,0.23,0.77,0.54,30,0,30대예요 남성이에요 창의적이고 새로운 것을 좋아해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 공감하고 협력하는 걸 중요하게 여겨요 감정 기복이 심하고 예민한 편이에요
0.73,0.24,0.07,0.81,0.02,30,1,30대예요 여성이에요 창의적이고 새로운 것을 좋아해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.83,0.69,0.82,0.4,0.11,30,0,30대예요 남성이에요 창의적이고 새로운 것을 좋아해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.7,0.75,0.29,0.5,0.92,30,1,30대예요 여성이에요 창의적이고 새로운 것을 좋아해요 계획적이고 신중한 성격이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.66,0.56,0.11,0.68,0.35,30,0,30대예요 남성이에요 창의적이고 새로운 것을 좋아해요 계획적이고 신중한 성격이에요 조용하고 혼자 있는 걸 좋아해요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.02,0.02,0.92,0.76,0.09,40,1,40대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.18,0.54,0.56,0.51,0.13,40,0,40대예요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.31,0.26,0.29,0.73,0.49,40,1,40대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.77,0.1,0.0,0.98,0.0,40,0,40대예요 남성이에요 창의적이고 새로운 것을 좋아해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.69,0.43,0.89,0.62,0.24,40,1,40대예요 여성이에요 창의적이고 새로운 것을 좋아해요 즉흥적이고 자유로운 성향이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.14,0.94,0.63,0.05,0.61,40,0,40대예요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.28,0.93,0.63,0.86,0.31,40,1,40대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.87,0.82,0.66,0.37,0.25,40,0,40대예요 남성이에요 창의적이고 새로운 것을 좋아해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.28,0.44,0.21,0.19,0.1,40,1,40대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.01,0.88,0.96,0.23,0.81,40,0,40대예요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.07,0.24,0.51,0.44,0.74,50,1,50대 이상이에요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.11,0.77,0.59,0.6,0.12,50,0,50대 이상이에요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.55,0.5,0.91,0.46,0.36,50,1,50대 이상이에요 여성이에요 창의적이고 새로운 것을 좋아해요 즉흥적이고 자유로운 성향이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.2,0.39,0.24,0.92,0.88,50,0,50대 이상이에요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 공감하고 협력하는 걸 중요하게 여겨요 감정 기복이 심하고 예민한 편이에요
0.51,0.55,0.1,0.19,0.93,50,1,50대 이상이에요 여성이에요 창의적이고 새로운 것을 좋아해요 계획적이고 신중한 성격이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.16,0.6,0.26,0.49,0.91,50,0,50대 이상이에요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.66,0.73,0.59,0.58,0.99,50,1,50대 이상이에요 여성이에요 창의적이고 새로운 것을 좋아해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정 기복이 심하고 예민한 편이에요
0.01,0.07,0.93,0.49,0.56,50,0,50대 이상이에요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.01,0.63,0.86,0.72,0.53,50,1,50대 이상이에요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정 기복이 심하고 예민한 편이에요
